dataset,analysis_role,time_window,landmark_scheduled,baseline_case_population_n,baseline_score_eligible_n,observed_pairs_n,missing_followup_n,missing_percent,known_death_before_landmark_n,known_withdrawal_before_landmark_n,known_technical_failure_n,unknown_reason_n,reason_availability,estimand_boundary
GSE236713,Prespecified non-pilot cohort,T24,YES,126,124,93.0,31.0,25.0,0.0,0.0,0.0,31.0,All patient-level missing reasons unavailable in public metadata,Observed landmark population
GSE236713,Prespecified non-pilot cohort,T48,NO,126,124,,,,,,,,Landmark not scheduled by the source study; not classified as missing follow-up,Not applicable
GSE57065,Pilot cohort,T24,YES,28,28,28.0,0.0,0.0,0.0,0.0,0.0,0.0,All patient-level missing reasons unavailable in public metadata,Observed landmark population
GSE57065,Pilot cohort,T48,YES,28,28,26.0,2.0,7.142857142857143,0.0,0.0,0.0,2.0,All patient-level missing reasons unavailable in public metadata,Observed landmark population
GSE95233,Prespecified non-pilot cohort,T24,YES,51,51,20.0,31.0,60.78431372549019,0.0,0.0,0.0,31.0,All patient-level missing reasons unavailable in public metadata,Observed landmark population
GSE95233,Prespecified non-pilot cohort,T48,YES,51,51,31.0,20.0,39.21568627450981,0.0,0.0,0.0,20.0,All patient-level missing reasons unavailable in public metadata,Observed landmark population
GSE54514,Pilot cohort,T24,YES,36,35,31.0,4.0,11.428571428571429,0.0,0.0,0.0,4.0,All patient-level missing reasons unavailable in public metadata,Observed landmark population
GSE54514,Pilot cohort,T48,YES,36,35,28.0,7.0,20.0,0.0,0.0,0.0,7.0,All patient-level missing reasons unavailable in public metadata,Observed landmark population
GSE110487,Prespecified non-pilot cohort,T24,NO,31,31,,,,,,,,Landmark not scheduled by the source study; not classified as missing follow-up,Not applicable
GSE110487,Prespecified non-pilot cohort,T48,YES,31,31,31.0,0.0,0.0,0.0,0.0,0.0,0.0,All patient-level missing reasons unavailable in public metadata,Observed landmark population
GSE8121,Prespecified non-pilot cohort,T24,NO,30,30,,,,,,,,Landmark not scheduled by the source study; not classified as missing follow-up,Not applicable
GSE8121,Prespecified non-pilot cohort,T48,YES,30,30,30.0,0.0,0.0,0.0,0.0,0.0,0.0,All patient-level missing reasons unavailable in public metadata,Observed landmark population
