signature_id,time_window,cohort_k,observed_pooled_delta_z,observed_ci_lower,observed_ci_upper,holm_adjusted_p,ci_excludes_zero,weighted_missing_fraction_lever,common_missing_delta_shift_for_point_null,common_missing_delta_shift_for_ci_to_touch_zero,absolute_shift_for_ci_to_touch_zero,interpretation
SIG001,T24,4,-0.3785770092566108,-0.4320402122181945,-0.3251138062950271,0.0015307685866676,YES,0.24496821322304374,1.5454127875436483,1.3271673170061895,1.3271673170061895,Common mean delta-Z difference between missing and observed patients required to move the fixed-weight pooled 95% CI to zero
SIG001,T48,5,-0.8550776766665187,-1.3507663794189413,-0.3593889739140961,0.0435753284400065,YES,0.12561529859963824,6.807114150895162,2.8610286957127933,2.8610286957127933,Common mean delta-Z difference between missing and observed patients required to move the fixed-weight pooled 95% CI to zero
SIG002,T24,3,-0.0708756857062915,-0.1812477498008094,0.0394963783882262,0.2196622318072074,NO,0.24770187166164254,0.2861330244734959,,,Original pooled 95% CI already includes zero or no missing-patient leverage
SIG002,T48,4,-0.6885895701194436,-0.9056198950760734,-0.4715592451628136,0.0144823553655225,YES,0.08983224797033523,7.665282631542655,5.24933145743535,5.24933145743535,Common mean delta-Z difference between missing and observed patients required to move the fixed-weight pooled 95% CI to zero
SIG003,T24,3,-0.1730886001174061,-0.268709338680083,-0.0774678615547293,0.048265379092316,YES,0.26557047089853936,0.6517614685539878,0.2917035967614251,0.2917035967614251,Common mean delta-Z difference between missing and observed patients required to move the fixed-weight pooled 95% CI to zero
SIG003,T48,4,-0.8986462115572165,-1.2237089928778342,-0.5735834302365987,0.0185624659412957,YES,0.08863192180237262,10.139080742951467,6.471521981837974,6.471521981837974,Common mean delta-Z difference between missing and observed patients required to move the fixed-weight pooled 95% CI to zero
SIG004,T24,3,0.0269634308019545,-0.3775559730551874,0.4314828346590966,0.8012507544975208,NO,0.24350365499686283,-0.1107311132652275,,,Original pooled 95% CI already includes zero or no missing-patient leverage
SIG004,T48,4,0.6972451968898257,0.3321178300150832,1.062372563764568,0.0435753284400065,YES,0.09682201722835689,-7.20130830620227,-3.4301891194001453,3.4301891194001453,Common mean delta-Z difference between missing and observed patients required to move the fixed-weight pooled 95% CI to zero
SIG022,T24,4,-0.0568397988316207,-0.3153504950866199,0.2016708974233784,,NO,0.2377485965694803,0.23907522337365167,,,Original pooled 95% CI already includes zero or no missing-patient leverage
SIG022,T48,5,0.1390210567724545,-0.1907176237751375,0.4687597373200466,,NO,0.12493893712864744,-1.1127120173057574,,,Original pooled 95% CI already includes zero or no missing-patient leverage
SIG023,T24,4,0.0468090265631662,-0.5234492342888285,0.6170672874151609,,NO,0.24381350050708267,-0.19198701657542716,,,Original pooled 95% CI already includes zero or no missing-patient leverage
SIG023,T48,5,-0.0526105270909897,-0.273910702598893,0.1686896484169134,,NO,0.11717107228616913,0.44900610760391446,,,Original pooled 95% CI already includes zero or no missing-patient leverage
SIG033,T24,4,-0.1622184933545452,-0.3577094777256323,0.0332724910165419,,NO,0.21411411192529667,0.7576263511820389,,,Original pooled 95% CI already includes zero or no missing-patient leverage
SIG033,T48,5,-0.1197454988812969,-0.3645151890258151,0.1250241912632212,,NO,0.11702115172479569,1.023280809634383,,,Original pooled 95% CI already includes zero or no missing-patient leverage
SIG034,T24,4,0.0301771452166587,-0.1275457227183009,0.1879000131516183,,NO,0.24576785178036298,-0.12278719530668036,,,Original pooled 95% CI already includes zero or no missing-patient leverage
SIG034,T48,5,-0.0701561181295709,-0.2826444647980563,0.1423322285389144,,NO,0.13384322019250888,0.524166394298226,,,Original pooled 95% CI already includes zero or no missing-patient leverage
