signature_id,time_window,broad_lineage,net_pooled_contribution,absolute_pooled_contribution,gene_count,absolute_share
SIG001,T1,BROAD_OR_UNRESOLVED,-0.050753431941864595,0.0514708658237558,4,0.13537162625420215
SIG001,T1,B_LYMPHOCYTE,-0.0410589709897782,0.0410589709897782,1,0.10798768558202587
SIG001,T1,DENDRITIC,-0.0861928710249696,0.0861928710249696,3,0.22669269178649737
SIG001,T1,GRANULOCYTE,-0.1805200709932695,0.20149630295407792,3,0.5299479963772745
SIG001,T2,BROAD_OR_UNRESOLVED,-0.1386824815215957,0.1386824815215957,4,0.16752110887424104
SIG001,T2,B_LYMPHOCYTE,-0.1404081285987586,0.1404081285987586,1,0.1696055993500399
SIG001,T2,DENDRITIC,-0.14140954653744142,0.14140954653744142,3,0.17081525929911273
SIG001,T2,GRANULOCYTE,-0.40735062855701176,0.40735062855701176,3,0.4920580324766063
SIG001,T3,BROAD_OR_UNRESOLVED,-0.1119887818885174,0.1119887818885174,4,0.21238896328606674
SIG001,T3,B_LYMPHOCYTE,-0.2710109157993551,0.2710109157993551,1,0.513977618786247
SIG001,T3,DENDRITIC,-0.0010878343411645994,0.0942556395123676,3,0.17875770431921795
SIG001,T3,GRANULOCYTE,-0.0278841733691094,0.0500262133842866,3,0.0948757136084682
SIG001,T4,BROAD_OR_UNRESOLVED,-0.0869488871580777,0.0869488871580777,4,0.11070487044786488
SIG001,T4,B_LYMPHOCYTE,-0.3336129266880686,0.3336129266880686,1,0.4247619151420568
SIG001,T4,DENDRITIC,-0.1022662869639102,0.1022662869639102,3,0.13020725646483533
SIG001,T4,GRANULOCYTE,-0.26258347870148124,0.26258347870148124,3,0.334325957945243
SIG002,T1,BROAD_OR_UNRESOLVED,-0.0370058316766844,0.0370058316766844,1,0.05345045004127348
SIG002,T1,DENDRITIC,-0.1471255523043766,0.1471255523043766,1,0.21250507357721496
SIG002,T1,GRANULOCYTE,-0.1998858709967752,0.1998858709967752,1,0.2887109754758205
SIG002,T1,MONOCYTE,0.3083217552289845,0.3083217552289845,1,0.4453335009056911
SIG002,T2,BROAD_OR_UNRESOLVED,-0.1196185796785434,0.1196185796785434,1,0.11658128525706248
SIG002,T2,DENDRITIC,-0.6124431761908649,0.6124431761908649,1,0.5968923290940551
SIG002,T2,GRANULOCYTE,-0.1399753225430799,0.1399753225430799,1,0.13642114001184097
SIG002,T2,MONOCYTE,0.154015940429976,0.154015940429976,1,0.15010524563704145
SIG002,T4,BROAD_OR_UNRESOLVED,-0.0137207280488661,0.0137207280488661,1,0.018007166146142384
SIG002,T4,DENDRITIC,-0.3120848898748439,0.3120848898748439,1,0.40958208949715963
SIG002,T4,GRANULOCYTE,0.3124542565118053,0.3124542565118053,1,0.41006684849660324
SIG002,T4,MONOCYTE,-0.123699444288572,0.123699444288572,1,0.1623438958600948
SIG003,T1,BROAD_OR_UNRESOLVED,0.0111934946019346,0.0111934946019346,1,0.058623209275066895
SIG003,T1,DENDRITIC,-0.1797461475697081,0.1797461475697081,1,0.9413767907249331
SIG003,T2,BROAD_OR_UNRESOLVED,-0.3593740371864152,0.3593740371864152,1,0.40097390210410017
SIG003,T2,DENDRITIC,-0.5368788992281726,0.5368788992281726,1,0.5990260978958999
SIG003,T4,BROAD_OR_UNRESOLVED,-0.1567103297534853,0.1567103297534853,1,0.2603422948399428
SIG003,T4,DENDRITIC,-0.4452292431070446,0.4452292431070446,1,0.7396577051600572
SIG004,T1,BROAD_OR_UNRESOLVED,0.0351908077067799,0.22720742354729812,2,0.9163168403760836
SIG004,T1,DENDRITIC,-0.0207498479288492,0.0207498479288492,1,0.08368315962391637
SIG004,T2,BROAD_OR_UNRESOLVED,0.8063207335878453,0.8063207335878453,2,0.8857108179597982
SIG004,T2,DENDRITIC,-0.104044949248879,0.104044949248879,1,0.1142891820402018
SIG004,T4,BROAD_OR_UNRESOLVED,0.3482557197233519,0.3482557197233519,2,0.9615423282471944
SIG004,T4,DENDRITIC,0.0139287723085183,0.0139287723085183,1,0.0384576717528056
SIG022,T1,BROAD_OR_UNRESOLVED,0.01574401142169377,0.05478530002422322,3,0.2654258488147549
SIG022,T1,GRANULOCYTE,0.0446794322261154,0.0446794322261154,1,0.21646456655224164
SIG022,T1,MONOCYTE,-0.1069405604853316,0.1069405604853316,3,0.5181095846330036
SIG022,T2,BROAD_OR_UNRESOLVED,0.0924784047086383,0.1503207498965911,3,0.32430480280679597
SIG022,T2,GRANULOCYTE,0.1287290207939474,0.1287290207939474,1,0.27772240181619645
SIG022,T2,MONOCYTE,-0.0916568246658384,0.1844671078619646,3,0.3979727953770076
SIG022,T3,BROAD_OR_UNRESOLVED,0.0863514561760828,0.09389011429731199,3,0.33044049622150934
SIG022,T3,GRANULOCYTE,0.0229134501009911,0.0229134501009911,1,0.0806424816732283
SIG022,T3,MONOCYTE,0.0438643442470969,0.1673326579198391,3,0.5889170221052624
SIG022,T4,BROAD_OR_UNRESOLVED,0.13140783656363392,0.13140783656363392,3,0.2969600014880348
SIG022,T4,GRANULOCYTE,0.1313743030375718,0.1313743030375718,1,0.2968842212590187
SIG022,T4,MONOCYTE,-0.028676377123878896,0.17972808367857368,3,0.40615577725294644
SIG023,T1,BROAD_OR_UNRESOLVED,0.0895047577723762,0.0895047577723762,1,0.8637963966925685
SIG023,T1,GRANULOCYTE,-0.0141131296315135,0.0141131296315135,1,0.13620360330743156
SIG023,T2,BROAD_OR_UNRESOLVED,0.0399488767117554,0.0399488767117554,1,0.24616961866833142
SIG023,T2,GRANULOCYTE,-0.1223330365798243,0.1223330365798243,1,0.7538303813316686
SIG023,T3,BROAD_OR_UNRESOLVED,-0.4381724342810734,0.4381724342810734,1,0.6608240946807714
SIG023,T3,GRANULOCYTE,-0.2248972658223168,0.2248972658223168,1,0.33917590531922864
SIG023,T4,BROAD_OR_UNRESOLVED,-0.0706048243495991,0.0706048243495991,1,0.29599162772030185
SIG023,T4,GRANULOCYTE,-0.1679317345841466,0.1679317345841466,1,0.7040083722796981
SIG033,T1,BROAD_OR_UNRESOLVED,-0.2273609170232017,0.30677807477852426,4,0.7354560614137465
SIG033,T1,B_LYMPHOCYTE,0.0574167298279917,0.0574167298279917,1,0.13764830491565513
SIG033,T1,MONOCYTE,-0.0234594495548326,0.0234594495548326,1,0.0562406370956842
SIG033,T1,T_LYMPHOCYTE,0.0294720581690079,0.0294720581690079,1,0.07065499657491414
SIG033,T2,BROAD_OR_UNRESOLVED,-0.224880945905336,0.5083921634289238,4,0.7527372855001875
SIG033,T2,B_LYMPHOCYTE,0.120059719753742,0.120059719753742,1,0.17776321911771506
SIG033,T2,MONOCYTE,-0.0457375607577239,0.0457375607577239,1,0.06772009839404669
SIG033,T2,T_LYMPHOCYTE,0.001201789125874,0.001201789125874,1,0.0017793969880507622
SIG033,T3,BROAD_OR_UNRESOLVED,-0.5724633812629698,1.1330705139087356,4,0.877368366190695
SIG033,T3,B_LYMPHOCYTE,0.0835981236152431,0.0835981236152431,1,0.06473237828764236
SIG033,T3,MONOCYTE,-0.0365784173000305,0.0365784173000305,1,0.028323697272519585
SIG033,T3,T_LYMPHOCYTE,0.0381951233664728,0.0381951233664728,1,0.02957555824914307
SIG033,T4,BROAD_OR_UNRESOLVED,-0.2837996565862458,0.6031687020743194,4,0.6146142779946053
SIG033,T4,B_LYMPHOCYTE,0.1628738043563716,0.1628738043563716,1,0.1659644562532218
SIG033,T4,MONOCYTE,-0.0531469537550752,0.0531469537550752,1,0.054155456835629084
SIG033,T4,T_LYMPHOCYTE,0.1621881674905202,0.1621881674905202,1,0.16526580891654377
SIG034,T1,BROAD_OR_UNRESOLVED,0.027711549738668302,0.0881380583039703,16,0.23777575051425562
SIG034,T1,DENDRITIC,-0.0063414261869301,0.0063414261869301,2,0.017107676297199937
SIG034,T1,GRANULOCYTE,-0.05532096928206875,0.18970910470095295,17,0.5117905433551471
SIG034,T1,MONOCYTE,0.0414738377245578,0.053755698875001603,3,0.14502023178613704
SIG034,T1,T_LYMPHOCYTE,-0.0327329492601115,0.0327329492601115,4,0.08830579804726037
SIG034,T2,BROAD_OR_UNRESOLVED,0.0828074923023441,0.1795983014165597,16,0.2163747580180402
SIG034,T2,DENDRITIC,-0.0356065075536705,0.0356065075536705,2,0.04289767439349849
SIG034,T2,GRANULOCYTE,-0.009154052141348007,0.4796943522840686,17,0.5779216650682403
SIG034,T2,MONOCYTE,0.013219750249904601,0.031763956465398,3,0.038268281713617285
SIG034,T2,T_LYMPHOCYTE,-0.10337039941350651,0.10337039941350651,4,0.12453762080660376
SIG034,T3,BROAD_OR_UNRESOLVED,-0.04841264639262761,0.23057399147571458,16,0.28545113448595066
SIG034,T3,DENDRITIC,-0.0081988679986645,0.0189223275569941,2,0.023425885260036538
SIG034,T3,GRANULOCYTE,0.1481556386961456,0.493024778340609,17,0.6103658153562136
SIG034,T3,MONOCYTE,-0.0231667769424606,0.0260525500787218,3,0.032253117225523945
SIG034,T3,T_LYMPHOCYTE,-0.0391792868319299,0.0391792868319299,4,0.04850404767227529
SIG034,T4,BROAD_OR_UNRESOLVED,0.011871488521003299,0.1397569929002011,16,0.1623626840308152
SIG034,T4,DENDRITIC,-0.020511221213818098,0.020511221213818098,2,0.0238289108825016
SIG034,T4,GRANULOCYTE,0.1316811765497751,0.5681343619554657,17,0.6600300849567817
SIG034,T4,MONOCYTE,0.030297772851906,0.0482256249622548,3,0.05602611894723947
SIG034,T4,T_LYMPHOCYTE,-0.0756129447606275,0.0841422015669035,4,0.09775220118266194
