signature_id,time_window,leading_cell_source,net_pooled_contribution,absolute_pooled_contribution,gene_count,leading_cell_source_absolute_share
SIG001,T1,GRANULOCYTE,-0.1805200709932695,0.20149630295407792,3,0.5299479963772745
SIG001,T2,GRANULOCYTE,-0.40735062855701176,0.40735062855701176,3,0.4920580324766063
SIG001,T3,B_LYMPHOCYTE,-0.2710109157993551,0.2710109157993551,1,0.513977618786247
SIG001,T4,B_LYMPHOCYTE,-0.3336129266880686,0.3336129266880686,1,0.4247619151420568
SIG002,T1,MONOCYTE,0.3083217552289845,0.3083217552289845,1,0.4453335009056911
SIG002,T2,DENDRITIC,-0.6124431761908649,0.6124431761908649,1,0.5968923290940551
SIG002,T4,GRANULOCYTE,0.3124542565118053,0.3124542565118053,1,0.41006684849660324
SIG003,T1,DENDRITIC,-0.1797461475697081,0.1797461475697081,1,0.9413767907249331
SIG003,T2,DENDRITIC,-0.5368788992281726,0.5368788992281726,1,0.5990260978958999
SIG003,T4,DENDRITIC,-0.4452292431070446,0.4452292431070446,1,0.7396577051600572
SIG004,T1,BROAD_OR_UNRESOLVED,0.0351908077067799,0.22720742354729812,2,0.9163168403760836
SIG004,T2,BROAD_OR_UNRESOLVED,0.8063207335878453,0.8063207335878453,2,0.8857108179597982
SIG004,T4,BROAD_OR_UNRESOLVED,0.3482557197233519,0.3482557197233519,2,0.9615423282471944
SIG022,T1,MONOCYTE,-0.1069405604853316,0.1069405604853316,3,0.5181095846330036
SIG022,T2,MONOCYTE,-0.0916568246658384,0.1844671078619646,3,0.3979727953770076
SIG022,T3,MONOCYTE,0.0438643442470969,0.1673326579198391,3,0.5889170221052624
SIG022,T4,MONOCYTE,-0.028676377123878896,0.17972808367857368,3,0.40615577725294644
SIG023,T1,BROAD_OR_UNRESOLVED,0.0895047577723762,0.0895047577723762,1,0.8637963966925685
SIG023,T2,GRANULOCYTE,-0.1223330365798243,0.1223330365798243,1,0.7538303813316686
SIG023,T3,BROAD_OR_UNRESOLVED,-0.4381724342810734,0.4381724342810734,1,0.6608240946807714
SIG023,T4,GRANULOCYTE,-0.1679317345841466,0.1679317345841466,1,0.7040083722796981
SIG033,T1,BROAD_OR_UNRESOLVED,-0.2273609170232017,0.30677807477852426,4,0.7354560614137465
SIG033,T2,BROAD_OR_UNRESOLVED,-0.224880945905336,0.5083921634289238,4,0.7527372855001875
SIG033,T3,BROAD_OR_UNRESOLVED,-0.5724633812629698,1.1330705139087356,4,0.877368366190695
SIG033,T4,BROAD_OR_UNRESOLVED,-0.2837996565862458,0.6031687020743194,4,0.6146142779946053
SIG034,T1,GRANULOCYTE,-0.05532096928206875,0.18970910470095295,17,0.5117905433551471
SIG034,T2,GRANULOCYTE,-0.009154052141348007,0.4796943522840686,17,0.5779216650682403
SIG034,T3,GRANULOCYTE,0.1481556386961456,0.493024778340609,17,0.6103658153562136
SIG034,T4,GRANULOCYTE,0.1316811765497751,0.5681343619554657,17,0.6600300849567817
